,uin,lab_score,con_score,ld_score,total
0,CD:2001-07-04:10,1.0,1.0,1.0,1.0
1,CD:2001-07-04:8,0.9938461538461538,1.0,1.0,0.997948717948718
2,CD:2001-07-04:9,1.0,1.0,1.0,1.0
3,CD:2001-07-05:11,0.35064935064935066,0.6363636363636364,0.3333333333333333,0.4401154401154401
4,CD:2001-07-05:12,0.6036036036036037,0.8846153846153846,0.3939393939393939,0.6273861273861274
5,CD:2001-07-05:13,0.7682403433476395,0.8666666666666667,0.6551724137931034,0.7633598079358032
6,CD:2001-07-05:14,0.09523809523809523,0.825,0.1875,0.3692460317460317
7,CD:2001-07-05:15,0.9914893617021276,0.35135135135135137,1.0,0.7809469043511598
8,CD:2001-07-09:16,1.0,0.9333333333333333,0.92,0.9511111111111111
9,CD:2001-07-10:17,1.0,1.0,1.0,1.0
10,CD:2001-07-11:18,0.952054794520548,1.0,0.9565217391304348,0.9695255112169944
11,CD:2001-07-11:19,1.0,0.968503937007874,1.0,0.9895013123359581
12,CD:2001-07-11:20,1.0,0.968503937007874,1.0,0.9895013123359581
13,CD:2001-07-11:21,1.0,1.0,1.0,1.0
14,CD:2001-07-11:22,0.973421926910299,1.0,1.0,0.9911406423034329
15,CD:2001-07-12:23,1.0,1.0,0.9459459459459459,0.981981981981982
16,CD:2001-07-12:24,0.9926739926739927,1.0,0.9354838709677419,0.9760526212139116
17,CD:2001-07-16:25,0.738255033557047,1.0,0.45454545454545453,0.7309334960341672
18,CD:2001-07-16:26,0.31976744186046513,1.0,0.9534883720930233,0.7577519379844961
19,CD:2001-07-16:27,0.27218934911242604,1.0,0.9024390243902439,0.72487612450089
20,CD:2001-07-16:28,0.9862542955326461,0.5925925925925926,1.0,0.8596156293750795
21,CD:2001-07-17:29,0.9876160990712074,1.0,1.0,0.9958720330237357
22,CD:2001-07-18:30,0.9936305732484076,1.0,0.9534883720930233,0.982372981780477
23,CD:2001-07-18:31,0.9936507936507937,1.0,0.9534883720930233,0.9823797219146057
24,CD:2001-07-18:32,1.0,1.0,0.9574468085106383,0.9858156028368795
25,CD:2001-07-18:33,1.0,1.0,1.0,1.0
26,CD:2001-07-18:34,0.975609756097561,1.0,1.0,0.991869918699187
27,CD:2001-07-18:35,1.0,1.0,1.0,1.0
28,CD:2001-07-19:36,1.0,1.0,0.9444444444444444,0.9814814814814815
29,CD:2001-07-19:37,0.8244274809160306,0.5111111111111111,0.034482758620689655,0.4566737835492771
30,CD:2001-10-17:38,0.9880952380952381,1.0,1.0,0.996031746031746
31,CD:2001-10-23:39,0.9824046920821115,1.0,1.0,0.9941348973607038
32,CD:2001-10-23:40,0.9941176470588236,1.0,0.9523809523809523,0.9821661998132587
33,CD:2001-10-24:41,0.8561151079136691,0.8181818181818182,1.0,0.8914323086984958
34,CD:2001-10-24:42,1.0,1.0,1.0,1.0
35,CD:2001-10-25:43,0.9933554817275747,0.0,1.0,0.6644518272425249
36,CD:2001-10-25:44,0.9665551839464883,1.0,1.0,0.9888517279821628
37,CD:2001-10-29:45,0.9932659932659933,1.0,1.0,0.9977553310886643
38,CD:2001-10-30:46,1.0,1.0,1.0,1.0
39,CD:2001-10-31:47,0.9922779922779923,1.0,0.9354838709677419,0.9759206210819115
40,CD:2001-11-01:48,0.947565543071161,1.0,1.0,0.982521847690387
41,CD:2001-11-06:49,0.9935275080906149,1.0,1.0,0.9978425026968716
42,CD:2001-11-06:50,0.9934426229508196,1.0,1.0,0.9978142076502733
43,CD:2001-11-08:51,1.0,1.0,1.0,1.0
44,CD:2001-11-08:52,1.0,1.0,1.0,1.0
45,CD:2001-11-12:53,1.0,1.0,1.0,1.0
46,CD:2001-11-12:54,1.0,1.0,1.0,1.0
47,CD:2001-11-12:55,1.0,1.0,1.0,1.0
48,CD:2001-11-12:56,1.0,1.0,1.0,1.0
49,CD:2001-11-13:57,0.9941002949852508,1.0,1.0,0.9980334316617503
50,CD:2001-11-13:58,0.9940119760479041,1.0,1.0,0.9980039920159681
51,CD:2001-11-13:59,0.9937106918238994,1.0,1.0,0.9979035639412999
52,CD:2001-11-13:60,0.9936305732484076,1.0,1.0,0.9978768577494691
53,CD:2001-11-14:61,1.0,1.0,1.0,1.0
54,CD:2001-11-14:62,1.0,1.0,1.0,1.0
55,CD:2001-11-14:63,1.0,0.0,1.0,0.6666666666666666
56,CD:2001-11-15:64,0.4444444444444444,1.0,0.8,0.7481481481481481
57,CD:2001-11-19:65,0.9873417721518988,0.9851851851851852,1.0,0.9908423191123613
58,CD:2001-11-19:66,0.9440993788819876,0.7777777777777778,1.0,0.9072923855532551
59,CD:2001-11-20:67,0.9935275080906149,1.0,0.9565217391304348,0.9833497490736832
60,CD:2001-11-20:68,0.9935064935064936,1.0,0.9574468085106383,0.9836511006723773
61,CD:2001-11-20:69,0.9933993399339934,1.0,1.0,0.9977997799779978
62,CD:2001-11-21:70,0.9101796407185628,0.2,1.0,0.7033932135728543
63,CD:2001-11-21:71,0.9072463768115943,1.0,1.0,0.9690821256038648
64,CD:2001-11-21:72,0.9492957746478873,1.0,1.0,0.9830985915492958
65,CD:2001-11-21:73,1.0,1.0,1.0,1.0
66,CD:2001-11-21:74,0.9943977591036415,1.0,1.0,0.9981325863678805
