member_id,constituency,date_of_birth,days_service,first_start_date,gender,list_name,party
172,Hackney North and Stoke Newington,1953-09-27,7139,1987-06-11,F,"Abbott, Ms Diane",Labour
645,Belfast West,1948-10-06,6753,1983-06-09,M,"Adams, Mr Gerry",Sinn Féin
1586,Windsor,1965-08-04,696,2005-05-05,M,"Afriyie, Adam",Conservative
537,Carmarthen West and South Pembrokeshire,1949-10-24,5399,1992-04-09,M,"Ainger, Nick",Labour
306,Coventry North East,1952-06-19,5399,1992-04-09,M,"Ainsworth, Mr Bob",Labour
99,East Surrey,1956-11-16,5399,1992-04-09,M,"Ainsworth, Mr Peter",Conservative
1535,"Inverness, Nairn, Badenoch and Strathspey",1972-05-15,696,2005-05-05,M,"Alexander, Danny",Liberal Democrat
632,Paisley and Renfrewshire South,1967-10-26,3385,1997-11-06,M,"Alexander, Mr Douglas",Labour
364,Nottingham North,1953-01-11,7139,1987-06-11,M,"Allen, Mr Graham",Labour
44,Southend West,1952-03-26,8578,1983-06-09,M,"Amess, Sir David",Conservative
1486,Blaydon,1953-12-02,696,2005-05-05,M,"Anderson, Mr David",Labour
475,Rossendale and Darwen,1949-12-06,5399,1992-04-09,F,"Anderson, Janet",Labour
56,North East Hampshire,1952-08-04,7139,1987-06-11,M,"Arbuthnot of Edrom, L.",Conservative
4150,North West Durham,1945-11-30,7139,1987-06-11,F,"Armstrong of Hill Top, B.",Labour
284,Staffordshire Moorlands,1950-09-24,3574,1997-05-01,F,"Atkins, Charlotte",Labour
515,Hexham,1943-01-19,5399,1992-04-09,M,"Atkinson, Mr Peter",Conservative
1511,Dudley North,1965-03-06,696,2005-05-05,M,"Austin, Ian",Labour
168,Erith and Thamesmead,1944-08-21,5399,1992-04-09,M,"Austin, John",Labour
1451,South Norfolk,1962-12-03,2100,2001-06-07,M,"Bacon, Mr Richard",Conservative
320,West Bromwich West,1945-12-11,2272,2000-11-23,M,"Bailey, Mr Adrian",Labour
1445,Redcar,1950-02-13,2100,2001-06-07,F,"Baird, Vera",Labour
28,Lewes,1957-07-26,3574,1997-05-01,M,"Baker, Norman",Liberal Democrat
93,Banbury,1950-07-10,8578,1983-06-09,M,"Baldry, Sir Tony",Conservative
1549,Normanton,1967-02-25,696,2005-05-05,M,"Balls, Ed",Labour
1589,Ochil and South Perthshire,1955-06-14,696,2005-05-05,M,"Banks, Gordon",Labour
4149,North Antrim,1926-04-06,13187,1970-06-18,M,"Bannside, L.",Democratic Unionist Party
1389,Bexhill and Battle,1966-03-08,2100,2001-06-07,M,"Barker of Battle, L.",Conservative
