,uin,lab_score,con_score,ld_score,total,date,title
0,CD:2001-07-04:10,1.0,1.0,1.0,1.0,2001-07-04,European Communities (Amendment) Bill (Programme)
1,CD:2001-07-04:8,0.9938461538461538,1.0,1.0,0.997948717948718,2001-07-04,European Communities (Amendment) Bill
2,CD:2001-07-04:9,1.0,1.0,1.0,1.0,2001-07-04,European Communities (Amendment) Bill
3,CD:2001-07-05:11,0.35064935064935066,0.6363636363636364,0.3333333333333333,0.4401154401154401,2001-07-05,"Members' Allowances, Insurance &c."
4,CD:2001-07-05:12,0.6036036036036037,0.8846153846153846,0.3939393939393939,0.6273861273861274,2001-07-05,"Members' Allowances, Insurance &c."
5,CD:2001-07-05:13,0.7682403433476395,0.8666666666666667,0.6551724137931034,0.7633598079358032,2001-07-05,"Members' Allowances, Insurance &c."
6,CD:2001-07-05:14,0.09523809523809523,0.825,0.1875,0.3692460317460317,2001-07-05,"Members' Allowances, Insurance &c."
7,CD:2001-07-05:15,0.9914893617021276,0.35135135135135137,1.0,0.7809469043511598,2001-07-05,"Members' Allowances, Insurance &c."
8,CD:2001-07-09:16,1.0,0.9333333333333333,0.92,0.9511111111111111,2001-07-09,Export Control Bill
9,CD:2001-07-10:17,1.0,1.0,1.0,1.0,2001-07-10,Electoral Fraud (Northern Ireland) Bill
10,CD:2001-07-11:18,0.952054794520548,1.0,0.9565217391304348,0.9695255112169944,2001-07-11,Deferred Divisions
11,CD:2001-07-11:19,1.0,0.968503937007874,1.0,0.9895013123359581,2001-07-11,Deferred Divisions
12,CD:2001-07-11:20,1.0,0.968503937007874,1.0,0.9895013123359581,2001-07-11,Deferred Divisions
13,CD:2001-07-11:21,1.0,1.0,1.0,1.0,2001-07-11,European Communities (Amendment) Bill (Programme) (No. 2)
14,CD:2001-07-11:22,0.973421926910299,1.0,1.0,0.9911406423034329,2001-07-11,European Communities (Amendment) Bill
15,CD:2001-07-12:23,1.0,1.0,0.9459459459459459,0.981981981981982,2001-07-12,Post-16 Education
16,CD:2001-07-12:24,0.9926739926739927,1.0,0.9354838709677419,0.9760526212139116,2001-07-12,The Countryside
17,CD:2001-07-16:25,0.738255033557047,1.0,0.45454545454545453,0.7309334960341672,2001-07-16,Business of the House
18,CD:2001-07-16:26,0.31976744186046513,1.0,0.9534883720930233,0.7577519379844961,2001-07-16,Accommodation and Works
19,CD:2001-07-16:27,0.27218934911242604,1.0,0.9024390243902439,0.72487612450089,2001-07-16,Accommodation and Works
20,CD:2001-07-16:28,0.9862542955326461,0.5925925925925926,1.0,0.8596156293750795,2001-07-16,Accommodation and Works
21,CD:2001-07-17:29,0.9876160990712074,1.0,1.0,0.9958720330237357,2001-07-17,European Communities (Amendment) Bill
22,CD:2001-07-18:30,0.9936305732484076,1.0,0.9534883720930233,0.982372981780477,2001-07-18,Deferred Divisions
23,CD:2001-07-18:31,0.9936507936507937,1.0,0.9534883720930233,0.9823797219146057,2001-07-18,Deferred Divisions
24,CD:2001-07-18:32,1.0,1.0,0.9574468085106383,0.9858156028368795,2001-07-18,European Communities (Amendment) Bill
25,CD:2001-07-18:33,1.0,1.0,1.0,1.0,2001-07-18,European Communities (Amendment) Bill
26,CD:2001-07-18:34,0.975609756097561,1.0,1.0,0.991869918699187,2001-07-18,European Communities (Amendment) Bill
27,CD:2001-07-18:35,1.0,1.0,1.0,1.0,2001-07-18,European Communities (Amendment) Bill
28,CD:2001-07-19:36,1.0,1.0,0.9444444444444444,0.9814814814814815,2001-07-19,European Communities (Finance) Bill (Programme) (No. 2)
29,CD:2001-07-19:37,0.8244274809160306,0.5111111111111111,0.034482758620689655,0.4566737835492771,2001-07-19,Select Committees
30,CD:2001-10-17:38,0.9880952380952381,1.0,1.0,0.996031746031746,2001-10-17,European Communities (Amendment) Bill
31,CD:2001-10-23:39,0.9824046920821115,1.0,1.0,0.9941348973607038,2001-10-23,Ministerial Conduct (DTLR)
32,CD:2001-10-23:40,0.9941176470588236,1.0,0.9523809523809523,0.9821661998132587,2001-10-23,Ministerial Conduct (DTLR)
33,CD:2001-10-24:41,0.8561151079136691,0.8181818181818182,1.0,0.8914323086984958,2001-10-24,Relationships (Civil Registration)
34,CD:2001-10-24:42,1.0,1.0,1.0,1.0,2001-10-24,Sex Discrimination (Election Candidates) Bill
35,CD:2001-10-25:43,0.9933554817275747,0.0,1.0,0.6644518272425249,2001-10-25,Student Finance
36,CD:2001-10-25:44,0.9665551839464883,1.0,1.0,0.9888517279821628,2001-10-25,Social Security
37,CD:2001-10-29:45,0.9932659932659933,1.0,1.0,0.9977553310886643,2001-10-29,Adoption and Children Bill
38,CD:2001-10-30:46,1.0,1.0,1.0,1.0,2001-10-30,Proceeds of Crime Bill
39,CD:2001-10-31:47,0.9922779922779923,1.0,0.9354838709677419,0.9759206210819115,2001-10-31,Election Fraud (Northern Ireland) Bill
40,CD:2001-11-01:48,0.947565543071161,1.0,1.0,0.982521847690387,2001-11-01,Coalition Against International Terrorism
41,CD:2001-11-06:49,0.9935275080906149,1.0,1.0,0.9978425026968716,2001-11-06,Education and Lifelong Learning
42,CD:2001-11-06:50,0.9934426229508196,1.0,1.0,0.9978142076502733,2001-11-06,Education and Lifelong Learning
43,CD:2001-11-08:51,1.0,1.0,1.0,1.0,2001-11-08,Export Control Bill
44,CD:2001-11-08:52,1.0,1.0,1.0,1.0,2001-11-08,Export Control Bill
45,CD:2001-11-12:53,1.0,1.0,1.0,1.0,2001-11-12,Animal Health Bill
46,CD:2001-11-12:54,1.0,1.0,1.0,1.0,2001-11-12,Animal Health Bill
47,CD:2001-11-12:55,1.0,1.0,1.0,1.0,2001-11-12,Animal Health Bill
48,CD:2001-11-12:56,1.0,1.0,1.0,1.0,2001-11-12,Animal Health Bill
49,CD:2001-11-13:57,0.9941002949852508,1.0,1.0,0.9980334316617503,2001-11-13,Railtrack
50,CD:2001-11-13:58,0.9940119760479041,1.0,1.0,0.9980039920159681,2001-11-13,Railtrack
51,CD:2001-11-13:59,0.9937106918238994,1.0,1.0,0.9979035639412999,2001-11-13,Stakeholder Pensions
52,CD:2001-11-13:60,0.9936305732484076,1.0,1.0,0.9978768577494691,2001-11-13,Stakeholder Pensions
53,CD:2001-11-14:61,1.0,1.0,1.0,1.0,2001-11-14,Deferred Divisions
54,CD:2001-11-14:62,1.0,1.0,1.0,1.0,2001-11-14,Football (Disorder) (Amendment) Bill
55,CD:2001-11-14:63,1.0,0.0,1.0,0.6666666666666666,2001-11-14,Football (Disorder) (Amendment) Bill
56,CD:2001-11-15:64,0.4444444444444444,1.0,0.8,0.7481481481481481,2001-11-15,City of London (Ward Elections) Bill
57,CD:2001-11-19:65,0.9873417721518988,0.9851851851851852,1.0,0.9908423191123613,2001-11-19,"Anti-terrorism, Crime and Security Bill"
