,member_id,PC1,PC2,constituency,date_of_birth,days_service,first_start_date,gender,list_name,party
0,67,29.743268144331132,-4.889614039667873,Hertsmere,1956-09-14,4693,1992-04-09,M,"Clappison, Mr James",Conservative
1,122,-17.654887841696734,0.15721473197732053,Peterborough,1954-12-23,2868,1997-05-01,F,"Clark, Mrs Helen",Labour
2,83,-17.66863659000357,-2.1102703210326106,Gillingham,1957-04-29,2868,1997-05-01,M,"Clark, Paul",Labour
3,599,-17.322807844614537,-2.2671152974747995,"Edinburgh, Pentlands",1949-02-26,2868,1997-05-01,F,"Clark of Calton, B.",Labour
4,130,-6.090068657233802,-1.8076936538050128,Norwich South,1950-09-21,2868,1997-05-01,M,"Clarke, Mr Charles",Labour
5,366,23.864593453025794,-2.542412956876101,Rushcliffe,1940-07-02,12518,1970-06-18,M,"Clarke, Mr Kenneth",Conservative
6,583,-21.554268294789267,-1.325069873577541,Coatbridge and Chryston,1941-01-10,8195,1982-06-24,M,"Clarke, Mr Tom",Labour
7,355,-16.143867696443746,0.19849875942737188,Northampton South,1963-09-06,2868,1997-05-01,M,"Clarke, Mr Tony",Labour
8,528,-19.217120617608572,-2.359564003113664,Tyne Bridge,1943-06-27,6962,1985-12-05,M,"Clelland, Mr David",Labour
9,249,28.346867704604552,-5.11379837218169,Cotswold,1953-03-23,4693,1992-04-09,M,"Clifton-Brown, Sir Geoffrey",Conservative
10,553,-15.700885724187277,-0.5234045553060732,Cynon Valley,1937-03-21,7543,1984-05-03,F,"Clwyd, Ann",Labour
11,360,-19.20400744065728,-1.2435115388511238,Gedling,1953-06-17,2868,1997-05-01,M,"Coaker, Vernon",Labour
12,458,-23.325356146223168,-1.5035348939268702,Stockport,1946-08-31,4693,1992-04-09,F,"Coffey, Ann",Labour
13,192,-12.367139372179436,1.4003735595373599,Leyton and Wanstead,1949-12-10,7872,1983-06-09,M,"Cohen, Harry",Labour
14,174,-10.206641979794849,1.2816703713217663,Hammersmith and Fulham,1958-01-18,2868,1997-05-01,M,"Coleman, Mr Iain",Labour
15,498,32.36218984690429,-5.919586332167951,Westmorland and Lonsdale,1964-05-07,2868,1997-05-01,M,"Collins, Mr Tim",Conservative
16,198,-13.318442312854847,-0.5721463287778381,Putney,1943-07-24,2868,1997-05-01,M,"Colman, Mr Tony",Labour
17,602,-12.05566420487288,2.148889923870227,Falkirk East,1947-09-03,4693,1992-04-09,M,"Connarty, Michael",Labour
18,1202,27.083720878712246,-6.1101924823897855,Old Bexley and Sidcup,1953-02-15,6398,1983-06-09,M,"Conway, Derek",Conservative
19,504,-6.330187432824498,-0.3723309381506572,Stockton North,1935-11-03,7872,1983-06-09,M,"Cook, Frank",Labour
20,623,-12.409216573549696,-0.41398233439624055,Livingston,1946-02-28,11187,1974-02-28,M,"Cook, Mr Robin",Labour
21,420,-9.985693831615611,-1.3545942538403493,Pontefract and Castleford,1969-03-20,2868,1997-05-01,F,"Cooper, Yvette",Labour
22,185,-4.400394412761835,9.489683310833763,Islington North,1949-05-26,7872,1983-06-09,M,"Corbyn, Jeremy",Labour
23,282,25.087933299408473,-5.06186186458629,South Staffordshire,1939-05-18,12518,1970-06-18,M,"Cormack, L.",Conservative
24,215,-15.295346399383526,-0.08001977719318491,Bristol East,1942-05-05,4693,1992-04-09,F,"Corston, B.",Labour
25,3786,20.454108667015987,21.07886022115556,Weston-Super-Mare,1936-08-24,2868,1997-05-01,M,"Cotter, L.",Liberal Democrat
26,521,-16.116145406733125,1.6338405220250194,Newcastle upon Tyne Central,1944-02-23,6433,1987-06-11,M,"Cousins, Jim",Labour
27,205,-4.262209132459705,3.013267563298709,Tooting,1930-01-19,12518,1970-06-18,M,"Cox, Tom",Labour
28,368,21.383177817677105,-3.542326886549866,Beverley and Holderness,1944-01-28,6433,1987-06-11,M,"Cran, Mr James",Conservative
29,309,-14.388317263225867,-2.1433092805632867,Dudley North,1948-07-23,2868,1997-05-01,M,"Cranston, Sir Ross",Labour
30,437,-16.367453520707524,-0.462773403244587,Bolton North East,1946-06-17,2868,1997-05-01,M,"Crausby, Sir David",Labour
31,1406,-20.735817461514138,-0.5609349224955682,Dagenham,1962-04-07,1394,2001-06-07,M,"Cruddas, Jon",Labour
32,412,-11.221004857808072,-0.021054566514332105,Keighley,1939-12-14,2868,1997-05-01,F,"Cryer, Mrs Ann",Labour
33,181,-14.800658056181476,3.227226238894102,Hornchurch,1964-04-11,2868,1997-05-01,M,"Cryer, John",Labour
34,509,-15.61430996173634,-1.7330649387490118,Easington,1943-07-06,6433,1987-06-11,M,"Cummings, John",Labour
35,308,-21.867082082061575,-0.3147291276827106,Coventry South,1941-02-04,4693,1992-04-09,M,"Cunningham, Mr Jim",Labour
36,1469,-21.19906391744738,-1.7785889636272552,Workington,1952-09-16,1394,2001-06-07,M,"Cunningham, Sir Tony",Labour
37,496,-6.71030050227024,-1.3556634568757708,Copeland,1939-08-04,12518,1970-06-18,M,"Cunningham of Felling, L.",Labour
38,383,26.05608822797106,-3.029896090829803,Skipton and Ripon,1944-06-13,6433,1987-06-11,M,"Curry, Mr David",Conservative
39,480,-8.917796964111345,-1.5748167344115234,Crosby,1958-04-30,2868,1997-05-01,F,"Curtis-Thomas, Mrs Claire",Labour
40,1395,7.08214848207716,0.42344475736457876,Not serving on 2005-04-01,1957-07-20,741,2001-06-07,M,"Daisley, Mr Paul",Labour
41,622,-6.111075402026112,1.7668221766944272,Linlithgow,1932-08-09,15383,1962-06-14,M,"Dalyell, Tam",Labour
42,596,-10.44705706033604,-1.1062918784651883,Edinburgh Central,1953-11-28,6433,1987-06-11,M,"Darling of Roulanish, L.",Labour
43,188,21.17501906144664,21.198802211542347,Kingston and Surbiton,1965-12-25,2868,1997-05-01,M,"Davey, Sir Edward",Liberal Democrat
44,218,-21.569251227395302,0.23368468060810385,Bristol West,1940-04-16,2868,1997-05-01,F,"Davey, Valerie",Labour
45,1398,-18.32259055039051,-1.19384603294446,Caerphilly,1957-07-01,1394,2001-06-07,M,"David, Wayne",Labour
46,611,-16.52716505803234,0.44611850080725696,"Glasgow, Pollok",1950-09-08,4693,1992-04-09,M,"Davidson, Mr Ian",Labour
47,539,-14.115030911910116,-0.8854787339001606,Llanelli,1938-10-09,12518,1970-06-18,M,"Davies, Denzil",Labour
48,155,-17.23842780561815,-1.694558916177462,Croydon Central,1960-05-03,2868,1997-05-01,M,"Davies, Geraint",Labour
49,346,25.14722645536915,-3.9181182774492656,Grantham and Stamford,1944-05-29,6433,1987-06-11,M,"Davies of Stamford, L.",Conservative
50,373,30.744282471970827,-5.77110264161119,Haltemprice and Howden,1948-12-23,6433,1987-06-11,M,"Davis, Mr David",Conservative
51,299,-4.2134052993277376,1.7143656283451445,Not serving on 2005-04-01,1938-01-05,10067,1971-05-01,M,"Davis, Mr Terry",Labour
