4150,date,division number_x,title,uin,uri_x,224,division number_y,uri_y
no,2010-03-23,117.0,"Cluster Munitions (Prohibitions) Bill [Lords], Question put, That the amendment 4 be made), sitting committee",CD:2010-03-23:117,http://data.parliament.uk/resources/104609,,,
no,2010-03-16,110.0,"Illegally Logged Timber (Prohibition of Retail, Wholesale and Distribution), Question put accordingly (Standing Order No. 31(2), That the original words stand part of the Question",CD:2010-03-16:110,http://data.parliament.uk/resources/104602,,,
no,2010-03-16,111.0,"Higher Education, Question put accordingly (Standing Order No. 31(2), That the original words stand part of the Question",CD:2010-03-16:111,http://data.parliament.uk/resources/104603,,,
no,2010-03-09,104.0,"Hydrofluorocarbons Limitation, Question put ac cordingly (Standing Order No. 31 (2)), That the original words stand part of the Question",CD:2010-03-09:104,http://data.parliament.uk/resources/104596,,,
no,2010-03-02,93.0,"Constitutional Reform and Governance Bill, Question put that amendment 10 be made",CD:2010-03-02:93,http://data.parliament.uk/resources/104585,,,
no,2010-03-02,94.0,"Constitutional Reform and Governance Bill, Question put that amendment 3 be made",CD:2010-03-02:94,http://data.parliament.uk/resources/104586,,,
no,2010-02-24,86.0,"Energy Bill, Proceedings interrupted (PO, 7 Dec) Deputy Speaker put forthwith Questions necessary for the disposal of business to be concluded at that time (SO No. 83E), Question put, That the clause be added to the Bill",CD:2010-02-24:86,http://data.parliament.uk/resources/104578,,,
no,2010-02-24,87.0,"Energy Bill, Question put, That the new clause 18 be added to the Bill",CD:2010-02-24:87,http://data.parliament.uk/resources/104579,,,
no,2010-02-10,80.0,"Section 5 of the European Communities (Amendment) Act 1993, 1 & 1/2 hours having elapsed since commencement of proceedings on the motion, Deputy Speaker put the Question (SO No. 16(1)), That the amendment be made",CD:2010-02-10:80,http://data.parliament.uk/resources/104572,,,
no,2010-02-09,78.0,"Constitutional Reform and Governance Bill, (Prog Order, 1 Feb 2010), Questions necessary for disposal of business to be concluded (SO No. 83D) That amend New Clause 88(b) be made, sitting in committee",CD:2010-02-09:78,http://data.parliament.uk/resources/104570,,,
no,2010-01-27,63.0,"Dementia Services debate, Question put accordingly (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2010-01-27:63,http://data.parliament.uk/resources/104555,,,
no,2010-01-27,64.0,"Out-of-Hours Care, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2010-01-27:64,http://data.parliament.uk/resources/104556,,,
no,2010-01-25,56.0,"Financial Services Bill, Deputy Speaker put forthwith Questions necessary for the disposal of the business to be concluded at that time (Standing Order No. 83E). Question put, That the New Clause 14 be added to the Bill",CD:2010-01-25:56,http://data.parliament.uk/resources/104548,,,
