515,date,division number,title,uin,uri
no,2010-04-08,133.0,"Sustainable Communities Act 2007 (Amendment) Bill, Question put that amendment proposed: 5, in page 2, line 15 be made",CD:2010-04-08:133,http://data.parliament.uk/resources/104625
no,2010-04-07,127.0,"Children and Young Persons, That the draft Children Act 2004 Information Database (England) (Amendment) Regulations 2010, which were laid before this House on 28 January, be approved)",CD:2010-04-07:127,http://data.parliament.uk/resources/104619
no,2010-04-07,128.0,"Strategy on Jobs and Growth, House takes note of EU Doc No 7110/10, Commission No. 6018/10, Commission No 6037/10, supports the Gov's approach to promoting EU strategy focused on delivering strong growth",CD:2010-04-07:128,http://data.parliament.uk/resources/104620
no,2010-03-30,120.0,"Budget Resolutions and Economic Situation, corporation tax (charge and main rates for financial year 2011)",CD:2010-03-30:120,http://data.parliament.uk/resources/104612
no,2010-03-30,121.0,"Budget Resolutions and Economic Situation, Corporation tax (small profits rates and fractions for financial year 2010)",CD:2010-03-30:121,http://data.parliament.uk/resources/104613
no,2010-03-30,122.0,"Budget Resolutions and Economic Situation, Alcoholic liquor duties (rates)",CD:2010-03-30:122,http://data.parliament.uk/resources/104614
no,2010-03-30,125.0,"Budget Resolutions and Economic Situation, Landline duty",CD:2010-03-30:125,http://data.parliament.uk/resources/104617
no,2010-03-30,126.0,"Budget Resolutions and Economic Situation, Furnished holiday lettings",CD:2010-03-30:126,http://data.parliament.uk/resources/104618
no,2010-03-23,118.0,"Local Government, That the draft Exeter and Devon (Structural Changes) Order 2010, which was laid before this House on 10 February, be approved, Motion made, and Question put forthwith (Standing Order No. 118(6))",CD:2010-03-23:118,http://data.parliament.uk/resources/104610
no,2010-03-23,119.0,"Local Government, That the draft Norwich and Norfolk (Structural Changes) Order 2010, which was laid before this House on 10 February, be approved, Motion made, and Question put forthwith (Standing Order No. 118(6))",CD:2010-03-23:119,http://data.parliament.uk/resources/104611
no,2010-03-16,112.0,"Higher Education, Question put forthwith (Standing Order No. 31(2)), That the proposed words be there added",CD:2010-03-16:112,http://data.parliament.uk/resources/104604
